feedback_id,date,channel,segment,journey_stage,region,satisfaction_score,feedback_volume,issue_category,friction_score,follow_up_required,follow_up_completed,post_action_score,comment
FB-0126,2026-01-06,Dealer,Urban Commuters,Purchase,Central,5,91,Order tracking,2,no,no,5,Order tracking was handled smoothly across the purchase journey.
FB-0256,2026-01-06,Email,Urban Commuters,Digital,Central,5,116,Connectivity pairing,2,no,no,5,Connectivity pairing matched expectations and the digital step felt effortless.
FB-0358,2026-01-06,Email,Performance Enthusiasts,Service,North,2,143,Repair turnaround,4,yes,no,2,Frustrated with repair turnaround during service; needed several contacts to resolve.
FB-0274,2026-01-07,App,Urban Commuters,Purchase,South,5,94,Order tracking,1,no,no,5,Clear and proactive handling of order tracking; very satisfied.
FB-0170,2026-01-08,Email,Performance Enthusiasts,Service,Central,4,82,Service cost transparency,2,no,no,4,Clear and proactive handling of service cost transparency; very satisfied.
FB-0273,2026-01-08,Survey,Performance Enthusiasts,Purchase,North,4,121,Delivery handover,2,no,no,4,Delivery handover was handled smoothly across the purchase journey.
FB-0275,2026-01-08,Email,Touring Owners,Digital,South,4,103,Feature discovery,2,no,no,4,Clear and proactive handling of feature discovery; very satisfied.
FB-0375,2026-01-08,Social,Performance Enthusiasts,Service,South,3,77,Service cost transparency,3,no,no,3,Service cost transparency took longer than expected but the team communicated.
FB-0033,2026-01-09,App,Performance Enthusiasts,Service,South,3,55,Repair turnaround,4,no,no,3,Mixed experience with repair turnaround; resolved eventually after follow-up.
FB-0139,2026-01-09,Dealer,First-Time Owners,Digital,North,3,97,App onboarding,4,yes,yes,4,Mixed experience with app onboarding; resolved eventually after follow-up.
FB-0215,2026-01-10,Dealer,First-Time Owners,Purchase,Central,3,74,Test ride,3,no,no,3,Test ride was acceptable but purchase could be smoother.
FB-0305,2026-01-10,Email,Urban Commuters,Ownership,Central,4,80,Documentation,1,no,no,4,Documentation was handled smoothly across the ownership journey.
FB-0330,2026-01-10,Dealer,Touring Owners,Digital,North,4,95,Feature discovery,2,yes,yes,5,Clear and proactive handling of feature discovery; very satisfied.
FB-0355,2026-01-10,App,Urban Commuters,Service,North,3,112,Repair turnaround,4,yes,yes,4,Repair turnaround was acceptable but service could be smoother.
FB-0384,2026-01-10,Email,Touring Owners,Purchase,South,4,121,Financing clarity,2,no,no,4,Financing clarity was handled smoothly across the purchase journey.
FB-0067,2026-01-11,Social,First-Time Owners,Service,North,3,65,Repair turnaround,4,yes,yes,4,Repair turnaround was acceptable but service could be smoother.
FB-0300,2026-01-12,App,First-Time Owners,Digital,North,2,56,Connectivity pairing,3,yes,yes,2,Frustrated with connectivity pairing during digital; needed several contacts to resolve.
FB-0380,2026-01-12,Social,Urban Commuters,Purchase,Central,4,88,Delivery handover,2,no,no,4,Clear and proactive handling of delivery handover; very satisfied.
FB-0383,2026-01-12,Dealer,First-Time Owners,Service,North,4,82,Appointment wait,3,no,no,4,Appointment wait matched expectations and the service step felt effortless.
FB-0441,2026-01-14,Email,Touring Owners,Ownership,Central,4,142,Warranty registration,2,no,no,4,Warranty registration matched expectations and the ownership step felt effortless.
FB-0286,2026-01-15,App,Urban Commuters,Purchase,North,4,82,Delivery handover,3,no,no,4,Delivery handover matched expectations and the purchase step felt effortless.
FB-0185,2026-01-16,Social,Urban Commuters,Digital,Central,5,69,Feature discovery,2,no,no,5,Feature discovery matched expectations and the digital step felt effortless.
FB-0379,2026-01-16,Social,First-Time Owners,Service,North,4,48,Repair turnaround,1,no,no,4,Repair turnaround matched expectations and the service step felt effortless.
FB-0189,2026-01-17,Dealer,Touring Owners,Digital,North,5,93,Connectivity pairing,1,no,no,5,Connectivity pairing matched expectations and the digital step felt effortless.
FB-0323,2026-01-17,Social,Performance Enthusiasts,Ownership,North,2,53,Insurance documentation,5,yes,no,2,Insurance documentation created friction and I expected clearer guidance.
FB-0439,2026-01-17,Email,Urban Commuters,Purchase,North,5,83,Test ride,1,no,no,5,Test ride was handled smoothly across the purchase journey.
FB-0073,2026-01-18,Survey,First-Time Owners,Ownership,Central,3,117,Insurance documentation,3,yes,no,3,Insurance documentation was acceptable but ownership could be smoother.
FB-0398,2026-01-18,Social,First-Time Owners,Ownership,North,3,81,Insurance documentation,4,yes,yes,4,Mixed experience with insurance documentation; resolved eventually after follow-up.
FB-0173,2026-01-19,App,Urban Commuters,Purchase,South,4,115,Test ride,2,no,no,4,Test ride was handled smoothly across the purchase journey.
FB-0418,2026-01-20,Survey,First-Time Owners,Service,North,4,120,Repair turnaround,3,yes,yes,4,Repair turnaround matched expectations and the service step felt effortless.
FB-0004,2026-01-22,Dealer,First-Time Owners,Service,North,3,101,Repair turnaround,4,yes,no,3,Repair turnaround was acceptable but service could be smoother.
FB-0204,2026-01-22,Survey,Urban Commuters,Service,South,5,122,Appointment wait,3,no,no,5,Clear and proactive handling of appointment wait; very satisfied.
FB-0205,2026-01-22,Email,First-Time Owners,Purchase,Central,2,165,Financing clarity,4,yes,yes,4,Financing clarity was confusing and slowed the whole purchase experience.
FB-0064,2026-01-23,Dealer,Urban Commuters,Digital,Central,3,112,Account access,3,yes,no,3,Mixed experience with account access; resolved eventually after follow-up.
FB-0168,2026-01-24,Survey,Touring Owners,Service,Central,4,154,Appointment wait,2,no,no,4,Clear and proactive handling of appointment wait; very satisfied.
FB-0245,2026-01-24,Dealer,Performance Enthusiasts,Digital,North,5,95,Connectivity pairing,1,no,no,5,Connectivity pairing was handled smoothly across the digital journey.
FB-0327,2026-01-24,App,First-Time Owners,Digital,North,4,60,App onboarding,2,yes,yes,5,App onboarding matched expectations and the digital step felt effortless.
FB-0005,2026-01-25,Dealer,First-Time Owners,Purchase,North,3,116,Financing clarity,4,yes,no,3,Mixed experience with financing clarity; resolved eventually after follow-up.
FB-0125,2026-01-25,Email,Touring Owners,Ownership,Central,4,112,Documentation,1,no,no,4,Clear and proactive handling of documentation; very satisfied.
FB-0272,2026-01-25,Email,First-Time Owners,Purchase,South,1,70,Financing clarity,5,yes,yes,2,Financing clarity created friction and I expected clearer guidance.
FB-0438,2026-01-25,Social,First-Time Owners,Ownership,North,4,82,Documentation,3,no,no,4,Clear and proactive handling of documentation; very satisfied.
FB-0238,2026-01-26,Survey,Touring Owners,Service,South,3,134,Service cost transparency,2,no,no,3,Service cost transparency was acceptable but service could be smoother.
FB-0014,2026-01-27,Survey,First-Time Owners,Digital,Central,3,152,Connectivity pairing,2,no,no,3,Mixed experience with connectivity pairing; resolved eventually after follow-up.
FB-0121,2026-01-27,Email,Touring Owners,Digital,Central,3,164,App onboarding,4,yes,yes,3,Mixed experience with app onboarding; resolved eventually after follow-up.
FB-0388,2026-01-27,Survey,Performance Enthusiasts,Service,South,2,133,Repair turnaround,3,yes,no,2,Repair turnaround created friction and I expected clearer guidance.
FB-0243,2026-01-28,Email,Performance Enthusiasts,Purchase,Central,5,119,Test ride,2,no,no,5,Test ride was handled smoothly across the purchase journey.
FB-0016,2026-01-29,Email,Performance Enthusiasts,Ownership,Central,4,102,Recall communication,2,yes,yes,5,Recall communication was handled smoothly across the ownership journey.
FB-0097,2026-01-29,Dealer,Urban Commuters,Purchase,North,4,90,Order tracking,2,yes,yes,5,Order tracking was handled smoothly across the purchase journey.
FB-0178,2026-01-29,Dealer,Urban Commuters,Purchase,North,4,41,Trade-in valuation,2,yes,yes,5,Clear and proactive handling of trade-in valuation; very satisfied.
FB-0348,2026-01-29,Email,Urban Commuters,Digital,South,3,159,Feature discovery,2,no,no,3,Feature discovery took longer than expected but the team communicated.
FB-0201,2026-01-30,Dealer,Touring Owners,Ownership,South,4,74,Documentation,3,no,no,4,Clear and proactive handling of documentation; very satisfied.
FB-0354,2026-01-31,Survey,First-Time Owners,Service,North,3,77,Repair turnaround,4,yes,no,3,Repair turnaround took longer than expected but the team communicated.
FB-0415,2026-02-01,Social,Touring Owners,Purchase,North,4,90,Test ride,2,no,no,4,Test ride was handled smoothly across the purchase journey.
FB-0146,2026-02-02,App,Urban Commuters,Ownership,South,5,96,Documentation,2,yes,yes,5,Documentation matched expectations and the ownership step felt effortless.
FB-0152,2026-02-02,Email,Urban Commuters,Ownership,Central,4,69,Documentation,3,no,no,4,Documentation matched expectations and the ownership step felt effortless.
FB-0149,2026-02-03,Email,Touring Owners,Digital,Central,4,119,Account access,2,no,no,4,Clear and proactive handling of account access; very satisfied.
FB-0294,2026-02-04,Survey,First-Time Owners,Digital,Central,3,136,App onboarding,4,no,no,3,App onboarding took longer than expected but the team communicated.
FB-0039,2026-02-06,Social,Touring Owners,Service,South,3,55,Maintenance clarity,3,yes,yes,5,Maintenance clarity was acceptable but service could be smoother.
FB-0070,2026-02-06,App,Performance Enthusiasts,Digital,Central,4,52,Digital service booking,3,no,no,4,Digital service booking was handled smoothly across the digital journey.
FB-0110,2026-02-06,Social,Urban Commuters,Digital,North,3,30,Connectivity pairing,3,no,no,3,Mixed experience with connectivity pairing; resolved eventually after follow-up.
FB-0167,2026-02-06,Email,Touring Owners,Ownership,Central,4,118,Documentation,2,no,no,4,Documentation matched expectations and the ownership step felt effortless.
FB-0313,2026-02-06,Dealer,Performance Enthusiasts,Digital,Central,4,80,App onboarding,1,yes,no,4,Clear and proactive handling of app onboarding; very satisfied.
FB-0337,2026-02-06,Email,Urban Commuters,Service,South,4,90,Parts availability,3,yes,no,4,Clear and proactive handling of parts availability; very satisfied.
FB-0433,2026-02-06,Social,Performance Enthusiasts,Digital,South,4,58,App onboarding,2,no,no,4,App onboarding was handled smoothly across the digital journey.
FB-0266,2026-02-07,App,Touring Owners,Ownership,South,3,120,Warranty registration,3,yes,no,4,Mixed experience with warranty registration; resolved eventually after follow-up.
FB-0399,2026-02-07,App,First-Time Owners,Ownership,North,4,116,Warranty registration,2,no,no,4,Warranty registration was handled smoothly across the ownership journey.
FB-0408,2026-02-08,Email,Touring Owners,Ownership,North,4,149,Recall communication,1,no,no,4,Clear and proactive handling of recall communication; very satisfied.
FB-0028,2026-02-09,Email,Urban Commuters,Service,North,4,158,Parts availability,1,no,no,4,Parts availability was handled smoothly across the service journey.
FB-0082,2026-02-09,Email,Urban Commuters,Digital,South,5,65,Connectivity pairing,2,no,no,5,Clear and proactive handling of connectivity pairing; very satisfied.
FB-0281,2026-02-09,App,Touring Owners,Service,Central,4,35,Service cost transparency,2,no,no,4,Service cost transparency matched expectations and the service step felt effortless.
FB-0390,2026-02-09,Survey,First-Time Owners,Purchase,Central,2,124,Test ride,3,yes,yes,3,Test ride was confusing and slowed the whole purchase experience.
FB-0069,2026-02-10,Email,Touring Owners,Service,South,4,60,Maintenance clarity,2,yes,yes,5,Maintenance clarity was handled smoothly across the service journey.
FB-0291,2026-02-10,Email,Performance Enthusiasts,Purchase,North,3,83,Trade-in valuation,3,yes,yes,3,Mixed experience with trade-in valuation; resolved eventually after follow-up.
FB-0440,2026-02-12,Email,First-Time Owners,Digital,South,3,79,Account access,3,yes,yes,4,Mixed experience with account access; resolved eventually after follow-up.
FB-0041,2026-02-13,Email,Performance Enthusiasts,Purchase,South,4,77,Financing clarity,2,no,no,4,Clear and proactive handling of financing clarity; very satisfied.
FB-0361,2026-02-13,App,Touring Owners,Digital,South,4,66,Account access,2,yes,yes,5,Account access matched expectations and the digital step felt effortless.
FB-0011,2026-02-14,App,Performance Enthusiasts,Service,North,4,76,Maintenance clarity,2,yes,no,4,Clear and proactive handling of maintenance clarity; very satisfied.
FB-0052,2026-02-14,Email,Performance Enthusiasts,Digital,Central,5,142,Digital service booking,2,no,no,5,Clear and proactive handling of digital service booking; very satisfied.
FB-0280,2026-02-14,Survey,Touring Owners,Purchase,Central,4,76,Test ride,1,no,no,4,Test ride matched expectations and the purchase step felt effortless.
FB-0385,2026-02-15,Dealer,Touring Owners,Purchase,South,3,106,Financing clarity,4,yes,yes,4,Mixed experience with financing clarity; resolved eventually after follow-up.
FB-0123,2026-02-18,Social,Urban Commuters,Service,Central,4,81,Maintenance clarity,3,no,no,4,Maintenance clarity was handled smoothly across the service journey.
FB-0225,2026-02-18,Social,Touring Owners,Purchase,North,3,80,Test ride,2,yes,no,3,Test ride took longer than expected but the team communicated.
FB-0395,2026-02-19,Survey,Touring Owners,Digital,Central,4,99,Connectivity pairing,2,no,no,4,Connectivity pairing was handled smoothly across the digital journey.
FB-0431,2026-02-19,Social,Touring Owners,Service,North,3,56,Repair turnaround,4,yes,no,3,Repair turnaround was acceptable but service could be smoother.
FB-0424,2026-02-20,App,Urban Commuters,Service,Central,3,76,Appointment wait,3,yes,no,3,Appointment wait was acceptable but service could be smoother.
FB-0071,2026-02-21,Email,Touring Owners,Purchase,Central,5,61,Financing clarity,2,no,no,5,Financing clarity matched expectations and the purchase step felt effortless.
FB-0244,2026-02-22,App,Performance Enthusiasts,Purchase,Central,3,121,Financing clarity,4,yes,yes,4,Financing clarity was acceptable but purchase could be smoother.
FB-0416,2026-02-22,App,Performance Enthusiasts,Digital,South,5,108,Connectivity pairing,2,no,no,5,Connectivity pairing matched expectations and the digital step felt effortless.
FB-0012,2026-02-23,Dealer,Performance Enthusiasts,Digital,North,4,72,App onboarding,3,no,no,4,App onboarding was handled smoothly across the digital journey.
FB-0193,2026-02-24,Survey,Urban Commuters,Digital,South,4,155,Feature discovery,2,no,no,4,Feature discovery matched expectations and the digital step felt effortless.
FB-0226,2026-02-24,Survey,Touring Owners,Digital,North,5,102,Account access,2,no,no,5,Account access was handled smoothly across the digital journey.
FB-0284,2026-02-24,App,Urban Commuters,Service,Central,3,124,Maintenance clarity,3,no,no,3,Mixed experience with maintenance clarity; resolved eventually after follow-up.
FB-0386,2026-02-24,Dealer,First-Time Owners,Purchase,North,2,42,Financing clarity,4,yes,yes,4,Frustrated with financing clarity during purchase; needed several contacts to resolve.
FB-0006,2026-02-25,Dealer,Performance Enthusiasts,Service,Central,2,63,Parts availability,3,no,no,2,Parts availability created friction and I expected clearer guidance.
FB-0111,2026-02-25,Dealer,Touring Owners,Service,Central,4,103,Service cost transparency,2,no,no,4,Clear and proactive handling of service cost transparency; very satisfied.
FB-0141,2026-02-25,Email,Touring Owners,Digital,North,5,159,Connectivity pairing,1,no,no,5,Connectivity pairing matched expectations and the digital step felt effortless.
FB-0400,2026-02-25,Survey,Touring Owners,Digital,North,3,122,Connectivity pairing,2,yes,no,3,Connectivity pairing was acceptable but digital could be smoother.
FB-0432,2026-02-25,Dealer,Touring Owners,Ownership,North,4,71,Insurance documentation,2,yes,yes,5,Insurance documentation was handled smoothly across the ownership journey.
FB-0258,2026-02-26,Email,Touring Owners,Purchase,Central,4,61,Financing clarity,1,no,no,4,Clear and proactive handling of financing clarity; very satisfied.
FB-0084,2026-02-27,Social,Touring Owners,Service,North,5,37,Maintenance clarity,2,no,no,5,Maintenance clarity matched expectations and the service step felt effortless.
FB-0403,2026-02-27,Social,Urban Commuters,Ownership,Central,3,69,Warranty registration,2,no,no,3,Warranty registration was acceptable but ownership could be smoother.
FB-0043,2026-02-28,App,Urban Commuters,Service,South,5,64,Parts availability,2,yes,no,5,Parts availability matched expectations and the service step felt effortless.
FB-0377,2026-02-28,Social,Urban Commuters,Digital,Central,4,59,Digital service booking,1,no,no,4,Digital service booking matched expectations and the digital step felt effortless.
FB-0099,2026-03-01,Email,Touring Owners,Purchase,Central,3,143,Order tracking,2,yes,yes,5,Mixed experience with order tracking; resolved eventually after follow-up.
FB-0335,2026-03-01,Dealer,Performance Enthusiasts,Purchase,Central,5,62,Financing clarity,1,no,no,5,Financing clarity was handled smoothly across the purchase journey.
FB-0078,2026-03-03,Email,Performance Enthusiasts,Digital,Central,5,121,Connectivity pairing,2,no,no,5,Connectivity pairing matched expectations and the digital step felt effortless.
FB-0334,2026-03-03,App,Urban Commuters,Service,Central,4,68,Repair turnaround,3,yes,no,4,Clear and proactive handling of repair turnaround; very satisfied.
FB-0374,2026-03-03,Email,Touring Owners,Service,North,4,79,Repair turnaround,2,no,no,4,Repair turnaround matched expectations and the service step felt effortless.
FB-0166,2026-03-04,Social,Urban Commuters,Purchase,North,4,50,Order tracking,2,yes,yes,4,Order tracking matched expectations and the purchase step felt effortless.
FB-0175,2026-03-06,App,Performance Enthusiasts,Service,Central,4,91,Repair turnaround,2,yes,yes,5,Repair turnaround was handled smoothly across the service journey.
FB-0434,2026-03-07,Dealer,Performance Enthusiasts,Service,South,2,96,Service cost transparency,3,yes,yes,3,Service cost transparency was confusing and slowed the whole service experience.
FB-0074,2026-03-08,Survey,Touring Owners,Digital,North,5,140,App onboarding,2,no,no,5,App onboarding matched expectations and the digital step felt effortless.
FB-0277,2026-03-08,Social,Urban Commuters,Purchase,North,3,79,Financing clarity,2,no,no,3,Financing clarity took longer than expected but the team communicated.
FB-0417,2026-03-09,Email,Urban Commuters,Service,North,3,165,Appointment wait,3,yes,no,3,Appointment wait took longer than expected but the team communicated.
FB-0444,2026-03-10,Email,Urban Commuters,Purchase,Central,4,125,Test ride,2,yes,yes,5,Test ride matched expectations and the purchase step felt effortless.
FB-0118,2026-03-12,App,Performance Enthusiasts,Service,North,4,54,Repair turnaround,2,no,no,4,Clear and proactive handling of repair turnaround; very satisfied.
FB-0062,2026-03-13,Dealer,Touring Owners,Purchase,North,5,55,Order tracking,2,yes,no,5,Order tracking was handled smoothly across the purchase journey.
FB-0208,2026-03-13,Email,Touring Owners,Digital,Central,5,134,App onboarding,2,no,no,5,App onboarding matched expectations and the digital step felt effortless.
FB-0010,2026-03-14,Survey,First-Time Owners,Digital,North,2,80,Connectivity pairing,3,yes,yes,3,Connectivity pairing was confusing and slowed the whole digital experience.
FB-0049,2026-03-14,Survey,Performance Enthusiasts,Service,Central,3,151,Appointment wait,2,yes,yes,4,Appointment wait took longer than expected but the team communicated.
FB-0105,2026-03-14,Dealer,Touring Owners,Service,Central,3,60,Parts availability,3,yes,yes,5,Parts availability took longer than expected but the team communicated.
FB-0351,2026-03-14,App,Touring Owners,Ownership,South,3,76,Recall communication,3,yes,yes,5,Recall communication was acceptable but ownership could be smoother.
FB-0372,2026-03-14,Social,Urban Commuters,Ownership,Central,3,52,Documentation,2,no,no,3,Documentation was acceptable but ownership could be smoother.
FB-0116,2026-03-15,Dealer,Urban Commuters,Digital,Central,4,79,App onboarding,2,yes,yes,5,App onboarding matched expectations and the digital step felt effortless.
FB-0353,2026-03-15,Email,Urban Commuters,Service,South,5,77,Appointment wait,3,no,no,5,Appointment wait matched expectations and the service step felt effortless.
FB-0369,2026-03-16,Social,First-Time Owners,Service,North,2,73,Parts availability,4,yes,yes,3,Parts availability was confusing and slowed the whole service experience.
FB-0344,2026-03-17,Email,Urban Commuters,Digital,North,5,75,Connectivity pairing,1,no,no,5,Clear and proactive handling of connectivity pairing; very satisfied.
FB-0142,2026-03-18,App,Urban Commuters,Service,Central,4,97,Appointment wait,3,yes,no,3,Clear and proactive handling of appointment wait; very satisfied.
FB-0103,2026-03-21,App,First-Time Owners,Service,Central,2,35,Appointment wait,3,yes,yes,3,Frustrated with appointment wait during service; needed several contacts to resolve.
FB-0437,2026-03-21,Dealer,Performance Enthusiasts,Digital,North,5,84,Feature discovery,1,no,no,5,Clear and proactive handling of feature discovery; very satisfied.
FB-0423,2026-03-22,Email,Performance Enthusiasts,Ownership,Central,4,106,Insurance documentation,2,no,no,4,Insurance documentation was handled smoothly across the ownership journey.
FB-0436,2026-03-22,App,Urban Commuters,Service,Central,5,53,Appointment wait,2,no,no,5,Clear and proactive handling of appointment wait; very satisfied.
FB-0401,2026-03-23,Survey,Performance Enthusiasts,Digital,North,4,145,Feature discovery,1,no,no,4,Feature discovery matched expectations and the digital step felt effortless.
FB-0133,2026-03-24,Dealer,First-Time Owners,Service,North,2,74,Repair turnaround,4,yes,yes,4,Repair turnaround created friction and I expected clearer guidance.
FB-0442,2026-03-24,App,Performance Enthusiasts,Service,South,3,87,Parts availability,4,yes,yes,5,Parts availability was acceptable but service could be smoother.
FB-0271,2026-03-25,Social,First-Time Owners,Ownership,Central,2,81,Insurance documentation,4,yes,yes,4,Insurance documentation was confusing and slowed the whole ownership experience.
FB-0154,2026-03-27,Dealer,Urban Commuters,Service,North,5,42,Maintenance clarity,1,no,no,5,Maintenance clarity matched expectations and the service step felt effortless.
FB-0209,2026-03-27,Survey,Urban Commuters,Purchase,South,4,131,Financing clarity,2,yes,yes,5,Financing clarity was handled smoothly across the purchase journey.
FB-0293,2026-03-27,Dealer,Performance Enthusiasts,Ownership,South,4,116,Accessories,1,yes,yes,5,Accessories matched expectations and the ownership step felt effortless.
FB-0007,2026-03-28,App,First-Time Owners,Purchase,North,1,40,Financing clarity,4,yes,yes,3,Frustrated with financing clarity during purchase; needed several contacts to resolve.
FB-0050,2026-03-28,Dealer,First-Time Owners,Digital,North,3,115,Feature discovery,2,yes,no,3,Feature discovery was acceptable but digital could be smoother.
FB-0184,2026-03-28,Dealer,Urban Commuters,Purchase,South,4,65,Trade-in valuation,2,yes,no,4,Trade-in valuation was handled smoothly across the purchase journey.
FB-0089,2026-03-29,Survey,Touring Owners,Service,South,4,114,Repair turnaround,3,yes,yes,5,Repair turnaround matched expectations and the service step felt effortless.
FB-0040,2026-03-30,App,Urban Commuters,Digital,South,5,109,Account access,3,no,no,5,Clear and proactive handling of account access; very satisfied.
FB-0183,2026-03-30,App,Performance Enthusiasts,Digital,North,4,105,Feature discovery,2,yes,yes,5,Clear and proactive handling of feature discovery; very satisfied.
FB-0144,2026-03-31,Survey,Urban Commuters,Digital,North,4,136,Feature discovery,2,yes,yes,5,Feature discovery was handled smoothly across the digital journey.
FB-0147,2026-03-31,App,Touring Owners,Service,South,3,67,Repair turnaround,2,no,no,3,Repair turnaround took longer than expected but the team communicated.
FB-0298,2026-03-31,Dealer,Urban Commuters,Service,Central,4,120,Appointment wait,2,no,no,4,Appointment wait matched expectations and the service step felt effortless.
FB-0034,2026-04-01,Email,Touring Owners,Service,North,4,145,Repair turnaround,3,no,no,4,Repair turnaround was handled smoothly across the service journey.
FB-0251,2026-04-01,Dealer,First-Time Owners,Service,South,2,89,Repair turnaround,4,yes,yes,4,Frustrated with repair turnaround during service; needed several contacts to resolve.
