feedback_id,date,channel,segment,journey_stage,region,satisfaction_score,nps_score,feedback_volume,issue_category,friction_score,follow_up_required,follow_up_completed,post_action_score,comment
FB-0411,2026-01-07,Survey,Urban Commuters,Ownership,North,4,10,113,Documentation,2,no,no,4,Documentation was handled smoothly across the ownership journey.
FB-0066,2026-01-08,App,Urban Commuters,Purchase,South,5,9,69,Financing clarity,2,no,no,5,Clear and proactive handling of financing clarity; very satisfied.
FB-0192,2026-01-08,App,Urban Commuters,Ownership,North,2,7,121,Insurance documentation,3,yes,yes,3,Insurance documentation was confusing and slowed the whole ownership experience.
FB-0390,2026-01-08,Survey,Performance Enthusiasts,Digital,South,5,10,142,Connectivity pairing,1,no,no,5,Connectivity pairing was handled smoothly across the digital journey.
FB-0251,2026-01-09,Dealer,First-Time Owners,Purchase,South,2,2,64,Financing clarity,4,yes,yes,3,Frustrated with financing clarity during purchase; needed several contacts to resolve.
FB-0263,2026-01-09,App,Urban Commuters,Purchase,South,3,5,123,Trade-in valuation,2,yes,yes,5,Trade-in valuation took longer than expected but the team communicated.
FB-0341,2026-01-09,App,Urban Commuters,Service,South,5,6,44,Parts availability,2,no,no,5,Clear and proactive handling of parts availability; very satisfied.
FB-0131,2026-01-10,Email,Urban Commuters,Digital,North,5,9,79,Feature discovery,2,no,no,5,Clear and proactive handling of feature discovery; very satisfied.
FB-0112,2026-01-12,Email,Performance Enthusiasts,Ownership,North,2,5,79,Insurance documentation,4,yes,no,2,Frustrated with insurance documentation during ownership; needed several contacts to resolve.
FB-0348,2026-01-12,Email,Touring Owners,Digital,North,4,8,104,Connectivity pairing,1,no,no,4,Connectivity pairing matched expectations and the digital step felt effortless.
FB-0393,2026-01-12,Social,Touring Owners,Service,North,4,9,56,Service cost transparency,3,no,no,4,Service cost transparency matched expectations and the service step felt effortless.
FB-0103,2026-01-13,Email,Touring Owners,Service,North,4,8,63,Service cost transparency,1,yes,yes,5,Service cost transparency was handled smoothly across the service journey.
FB-0053,2026-01-14,App,First-Time Owners,Purchase,Central,2,2,91,Financing clarity,4,yes,yes,3,Financing clarity was confusing and slowed the whole purchase experience.
FB-0274,2026-01-14,App,Urban Commuters,Purchase,North,3,6,127,Order tracking,3,yes,no,3,Mixed experience with order tracking; resolved eventually after follow-up.
FB-0027,2026-01-15,Email,Urban Commuters,Service,North,3,6,138,Appointment wait,2,yes,yes,4,Mixed experience with appointment wait; resolved eventually after follow-up.
FB-0211,2026-01-16,App,Performance Enthusiasts,Digital,North,4,8,102,Connectivity pairing,2,no,no,4,Connectivity pairing matched expectations and the digital step felt effortless.
FB-0366,2026-01-16,Email,First-Time Owners,Purchase,North,2,3,165,Test ride,3,yes,yes,4,Frustrated with test ride during purchase; needed several contacts to resolve.
FB-0047,2026-01-17,Dealer,First-Time Owners,Digital,North,3,6,107,Feature discovery,3,no,no,3,Mixed experience with feature discovery; resolved eventually after follow-up.
FB-0295,2026-01-17,Social,Performance Enthusiasts,Service,North,3,9,88,Service cost transparency,2,yes,no,3,Mixed experience with service cost transparency; resolved eventually after follow-up.
FB-0342,2026-01-17,Email,First-Time Owners,Purchase,South,1,2,90,Financing clarity,3,yes,yes,1,Financing clarity was confusing and slowed the whole purchase experience.
FB-0346,2026-01-17,Dealer,Performance Enthusiasts,Digital,Central,4,7,88,Digital service booking,2,no,no,4,Digital service booking matched expectations and the digital step felt effortless.
FB-0402,2026-01-17,Survey,First-Time Owners,Purchase,South,2,3,72,Financing clarity,4,yes,no,2,Financing clarity created friction and I expected clearer guidance.
FB-0234,2026-01-19,Email,Urban Commuters,Purchase,South,3,4,60,Financing clarity,4,yes,no,3,Mixed experience with financing clarity; resolved eventually after follow-up.
FB-0157,2026-01-20,Dealer,First-Time Owners,Purchase,North,3,8,100,Delivery handover,2,yes,yes,5,Delivery handover took longer than expected but the team communicated.
FB-0303,2026-01-21,Survey,Performance Enthusiasts,Service,South,4,6,112,Maintenance clarity,1,yes,yes,5,Clear and proactive handling of maintenance clarity; very satisfied.
FB-0386,2026-01-21,Survey,Performance Enthusiasts,Purchase,South,3,4,139,Trade-in valuation,3,yes,yes,4,Mixed experience with trade-in valuation; resolved eventually after follow-up.
FB-0028,2026-01-22,Survey,Touring Owners,Ownership,South,3,8,99,Warranty registration,3,yes,yes,4,Warranty registration took longer than expected but the team communicated.
FB-0195,2026-01-22,Survey,Urban Commuters,Service,South,4,5,82,Appointment wait,3,no,no,4,Appointment wait matched expectations and the service step felt effortless.
FB-0116,2026-01-23,Email,Urban Commuters,Purchase,North,3,8,114,Order tracking,2,yes,yes,4,Order tracking took longer than expected but the team communicated.
FB-0152,2026-01-25,Dealer,First-Time Owners,Digital,Central,4,7,109,Account access,2,no,no,4,Clear and proactive handling of account access; very satisfied.
FB-0355,2026-01-25,Survey,Urban Commuters,Purchase,Central,3,5,136,Test ride,3,yes,no,3,Test ride was acceptable but purchase could be smoother.
FB-0161,2026-01-26,Dealer,Performance Enthusiasts,Purchase,North,4,7,104,Test ride,2,no,no,4,Test ride matched expectations and the purchase step felt effortless.
FB-0329,2026-01-26,Email,Performance Enthusiasts,Ownership,Central,3,6,119,Recall communication,3,yes,yes,5,Recall communication took longer than expected but the team communicated.
FB-0340,2026-01-26,Social,First-Time Owners,Service,Central,3,2,63,Parts availability,3,yes,no,3,Mixed experience with parts availability; resolved eventually after follow-up.
FB-0178,2026-01-27,App,Urban Commuters,Service,South,4,8,48,Parts availability,2,yes,yes,5,Clear and proactive handling of parts availability; very satisfied.
FB-0378,2026-01-27,Email,First-Time Owners,Digital,South,3,5,120,Account access,3,yes,yes,5,Account access took longer than expected but the team communicated.
FB-0087,2026-01-28,Survey,Performance Enthusiasts,Purchase,South,4,5,73,Order tracking,3,no,no,4,Order tracking matched expectations and the purchase step felt effortless.
FB-0401,2026-01-28,Dealer,Performance Enthusiasts,Purchase,Central,4,6,46,Test ride,3,yes,yes,4,Clear and proactive handling of test ride; very satisfied.
FB-0081,2026-01-29,Email,Urban Commuters,Service,South,2,5,109,Service cost transparency,3,yes,yes,3,Service cost transparency created friction and I expected clearer guidance.
FB-0090,2026-01-29,Dealer,Urban Commuters,Purchase,North,4,5,68,Order tracking,2,yes,yes,5,Order tracking matched expectations and the purchase step felt effortless.
FB-0114,2026-01-29,Email,Touring Owners,Ownership,Central,3,6,115,Warranty registration,3,yes,yes,4,Mixed experience with warranty registration; resolved eventually after follow-up.
FB-0129,2026-01-29,Social,First-Time Owners,Service,North,3,3,61,Parts availability,4,yes,yes,5,Parts availability took longer than expected but the team communicated.
FB-0216,2026-01-29,Dealer,Touring Owners,Ownership,Central,4,7,83,Insurance documentation,2,no,no,4,Insurance documentation was handled smoothly across the ownership journey.
FB-0293,2026-01-30,Email,Urban Commuters,Purchase,Central,5,9,86,Financing clarity,2,no,no,5,Clear and proactive handling of financing clarity; very satisfied.
FB-0362,2026-01-30,Email,Performance Enthusiasts,Service,North,3,7,102,Parts availability,3,yes,yes,5,Parts availability was acceptable but service could be smoother.
FB-0085,2026-02-01,Survey,First-Time Owners,Purchase,South,3,5,129,Financing clarity,4,no,no,3,Mixed experience with financing clarity; resolved eventually after follow-up.
FB-0138,2026-02-02,App,First-Time Owners,Ownership,South,1,1,59,Insurance documentation,5,yes,yes,3,Insurance documentation was confusing and slowed the whole ownership experience.
FB-0183,2026-02-02,Email,Touring Owners,Digital,North,4,10,146,Account access,1,no,no,4,Clear and proactive handling of account access; very satisfied.
FB-0365,2026-02-02,Survey,Touring Owners,Purchase,North,5,8,156,Order tracking,2,no,no,5,Clear and proactive handling of order tracking; very satisfied.
FB-0038,2026-02-03,App,Urban Commuters,Digital,North,4,8,69,Connectivity pairing,3,no,no,4,Connectivity pairing was handled smoothly across the digital journey.
FB-0115,2026-02-03,Email,First-Time Owners,Service,North,4,8,165,Service cost transparency,2,yes,no,4,Service cost transparency was handled smoothly across the service journey.
FB-0136,2026-02-03,App,Performance Enthusiasts,Digital,North,3,6,94,Connectivity pairing,3,yes,yes,4,Mixed experience with connectivity pairing; resolved eventually after follow-up.
FB-0154,2026-02-04,Dealer,Performance Enthusiasts,Service,North,3,3,90,Parts availability,3,yes,yes,5,Mixed experience with parts availability; resolved eventually after follow-up.
FB-0268,2026-02-04,Social,Urban Commuters,Purchase,North,2,3,86,Test ride,3,yes,yes,3,Test ride created friction and I expected clearer guidance.
FB-0324,2026-02-04,Dealer,Performance Enthusiasts,Digital,South,4,6,77,Feature discovery,3,yes,no,4,Feature discovery matched expectations and the digital step felt effortless.
FB-0382,2026-02-05,Email,Urban Commuters,Ownership,South,4,8,104,Recall communication,2,no,no,4,Recall communication was handled smoothly across the ownership journey.
FB-0011,2026-02-07,Survey,Touring Owners,Service,Central,4,10,116,Repair turnaround,2,no,no,4,Clear and proactive handling of repair turnaround; very satisfied.
FB-0228,2026-02-07,Email,Touring Owners,Ownership,South,4,10,142,Insurance documentation,1,no,no,4,Insurance documentation was handled smoothly across the ownership journey.
FB-0144,2026-02-09,Survey,First-Time Owners,Digital,Central,3,5,123,Connectivity pairing,2,yes,yes,4,Mixed experience with connectivity pairing; resolved eventually after follow-up.
FB-0010,2026-02-10,Survey,Performance Enthusiasts,Digital,South,4,4,132,Feature discovery,2,no,no,4,Feature discovery was handled smoothly across the digital journey.
FB-0018,2026-02-10,Dealer,First-Time Owners,Ownership,Central,3,4,83,Recall communication,3,no,no,3,Recall communication was acceptable but ownership could be smoother.
FB-0107,2026-02-10,Dealer,Urban Commuters,Digital,Central,4,10,57,Digital service booking,3,yes,yes,5,Digital service booking was handled smoothly across the digital journey.
FB-0434,2026-02-10,Email,First-Time Owners,Ownership,South,3,6,95,Documentation,2,yes,yes,5,Documentation took longer than expected but the team communicated.
FB-0439,2026-02-10,Social,Urban Commuters,Service,North,3,5,68,Parts availability,2,no,no,3,Mixed experience with parts availability; resolved eventually after follow-up.
FB-0156,2026-02-11,Email,Urban Commuters,Purchase,North,4,8,122,Financing clarity,1,no,no,4,Financing clarity was handled smoothly across the purchase journey.
FB-0311,2026-02-11,Email,Touring Owners,Service,North,4,8,86,Parts availability,2,yes,yes,5,Clear and proactive handling of parts availability; very satisfied.
FB-0395,2026-02-11,App,Performance Enthusiasts,Digital,North,4,10,94,Connectivity pairing,2,yes,no,4,Clear and proactive handling of connectivity pairing; very satisfied.
FB-0297,2026-02-13,Social,Urban Commuters,Service,North,3,7,37,Repair turnaround,2,yes,yes,5,Mixed experience with repair turnaround; resolved eventually after follow-up.
FB-0119,2026-02-14,Dealer,Touring Owners,Ownership,South,3,4,81,Warranty registration,3,yes,yes,4,Mixed experience with warranty registration; resolved eventually after follow-up.
FB-0255,2026-02-15,Email,Performance Enthusiasts,Ownership,North,5,10,117,Accessories,1,no,no,5,Clear and proactive handling of accessories; very satisfied.
FB-0353,2026-02-15,Dealer,Urban Commuters,Service,South,3,5,106,Service cost transparency,3,yes,yes,4,Mixed experience with service cost transparency; resolved eventually after follow-up.
FB-0317,2026-02-17,Email,First-Time Owners,Digital,Central,2,5,143,App onboarding,2,no,no,2,App onboarding was confusing and slowed the whole digital experience.
FB-0408,2026-02-17,App,First-Time Owners,Service,North,3,6,123,Appointment wait,3,yes,no,3,Appointment wait took longer than expected but the team communicated.
FB-0185,2026-02-19,Dealer,Touring Owners,Ownership,South,3,7,108,Documentation,3,yes,yes,4,Documentation was acceptable but ownership could be smoother.
FB-0381,2026-02-19,Survey,Performance Enthusiasts,Purchase,Central,4,9,100,Trade-in valuation,1,no,no,4,Trade-in valuation was handled smoothly across the purchase journey.
FB-0017,2026-02-20,Survey,Urban Commuters,Digital,South,4,6,153,Digital service booking,1,no,no,4,Digital service booking matched expectations and the digital step felt effortless.
FB-0259,2026-02-22,App,Touring Owners,Service,Central,3,8,84,Appointment wait,2,yes,yes,4,Mixed experience with appointment wait; resolved eventually after follow-up.
FB-0075,2026-02-23,Email,Performance Enthusiasts,Ownership,South,4,8,88,Warranty registration,2,no,no,4,Warranty registration was handled smoothly across the ownership journey.
FB-0108,2026-02-23,Dealer,Performance Enthusiasts,Ownership,North,5,10,116,Recall communication,1,no,no,5,Clear and proactive handling of recall communication; very satisfied.
FB-0171,2026-02-24,Email,Performance Enthusiasts,Service,South,3,7,79,Repair turnaround,2,no,no,3,Repair turnaround was acceptable but service could be smoother.
FB-0310,2026-02-24,App,Touring Owners,Digital,Central,4,10,113,Connectivity pairing,1,no,no,4,Connectivity pairing was handled smoothly across the digital journey.
FB-0082,2026-02-25,App,First-Time Owners,Purchase,Central,3,3,130,Financing clarity,4,no,no,3,Mixed experience with financing clarity; resolved eventually after follow-up.
FB-0398,2026-02-26,Social,Urban Commuters,Digital,Central,3,3,68,App onboarding,4,yes,yes,5,Mixed experience with app onboarding; resolved eventually after follow-up.
FB-0078,2026-02-27,Social,Touring Owners,Service,North,4,8,37,Maintenance clarity,3,no,no,4,Maintenance clarity matched expectations and the service step felt effortless.
FB-0302,2026-02-28,Email,Urban Commuters,Service,Central,4,7,110,Parts availability,2,no,no,4,Parts availability was handled smoothly across the service journey.
FB-0092,2026-03-01,App,Touring Owners,Purchase,Central,5,10,118,Financing clarity,1,no,no,5,Clear and proactive handling of financing clarity; very satisfied.
FB-0009,2026-03-02,Dealer,Touring Owners,Digital,North,5,7,46,Account access,2,no,no,5,Account access was handled smoothly across the digital journey.
FB-0122,2026-03-02,Email,Performance Enthusiasts,Digital,North,3,6,77,Account access,2,yes,yes,4,Account access was acceptable but digital could be smoother.
FB-0435,2026-03-03,App,Urban Commuters,Ownership,North,4,6,63,Documentation,2,yes,yes,5,Documentation matched expectations and the ownership step felt effortless.
FB-0281,2026-03-04,App,Urban Commuters,Service,North,4,6,104,Parts availability,3,no,no,4,Parts availability matched expectations and the service step felt effortless.
FB-0101,2026-03-05,App,First-Time Owners,Purchase,North,3,7,95,Financing clarity,3,yes,no,3,Financing clarity was acceptable but purchase could be smoother.
FB-0309,2026-03-05,Email,Urban Commuters,Service,Central,5,7,111,Repair turnaround,1,yes,yes,5,Repair turnaround was handled smoothly across the service journey.
FB-0424,2026-03-07,Email,First-Time Owners,Ownership,Central,3,3,153,Recall communication,3,yes,yes,5,Recall communication took longer than expected but the team communicated.
FB-0079,2026-03-08,Email,First-Time Owners,Ownership,Central,2,3,109,Insurance documentation,3,yes,yes,4,Insurance documentation created friction and I expected clearer guidance.
FB-0384,2026-03-08,App,Urban Commuters,Digital,Central,3,8,118,Digital service booking,3,no,no,3,Mixed experience with digital service booking; resolved eventually after follow-up.
FB-0151,2026-03-09,App,Touring Owners,Ownership,South,3,4,128,Warranty registration,3,yes,no,3,Mixed experience with warranty registration; resolved eventually after follow-up.
FB-0158,2026-03-09,Email,Touring Owners,Service,Central,5,10,72,Parts availability,1,no,no,5,Clear and proactive handling of parts availability; very satisfied.
FB-0262,2026-03-09,Survey,Urban Commuters,Ownership,South,4,6,77,Recall communication,2,no,no,4,Recall communication matched expectations and the ownership step felt effortless.
FB-0419,2026-03-09,Social,Urban Commuters,Digital,Central,4,7,46,Digital service booking,1,no,no,4,Clear and proactive handling of digital service booking; very satisfied.
FB-0423,2026-03-09,Social,Urban Commuters,Service,Central,4,9,36,Appointment wait,1,no,no,4,Appointment wait was handled smoothly across the service journey.
FB-0407,2026-03-10,Email,Urban Commuters,Purchase,Central,4,8,125,Test ride,2,yes,yes,5,Test ride matched expectations and the purchase step felt effortless.
FB-0431,2026-03-11,Email,First-Time Owners,Purchase,Central,3,5,63,Trade-in valuation,3,yes,yes,4,Trade-in valuation was acceptable but purchase could be smoother.
FB-0252,2026-03-13,Survey,Touring Owners,Digital,Central,4,8,146,App onboarding,2,no,no,4,App onboarding was handled smoothly across the digital journey.
FB-0440,2026-03-13,Dealer,First-Time Owners,Service,North,2,6,71,Appointment wait,2,yes,yes,3,Appointment wait was confusing and slowed the whole service experience.
FB-0046,2026-03-14,Survey,Touring Owners,Purchase,Central,3,6,123,Order tracking,2,yes,yes,4,Order tracking was acceptable but purchase could be smoother.
FB-0051,2026-03-15,Dealer,First-Time Owners,Digital,North,4,4,102,App onboarding,4,no,no,4,App onboarding was handled smoothly across the digital journey.
FB-0385,2026-03-15,Social,Urban Commuters,Purchase,Central,3,6,46,Trade-in valuation,3,yes,yes,4,Mixed experience with trade-in valuation; resolved eventually after follow-up.
FB-0002,2026-03-16,Social,Performance Enthusiasts,Purchase,North,4,8,65,Test ride,1,no,no,4,Clear and proactive handling of test ride; very satisfied.
FB-0060,2026-03-16,Dealer,Performance Enthusiasts,Service,North,2,5,116,Service cost transparency,3,yes,yes,3,Service cost transparency created friction and I expected clearer guidance.
FB-0071,2026-03-17,Survey,Touring Owners,Purchase,Central,3,5,140,Order tracking,3,yes,yes,4,Mixed experience with order tracking; resolved eventually after follow-up.
FB-0186,2026-03-17,Social,Touring Owners,Purchase,South,3,6,63,Financing clarity,4,yes,no,3,Financing clarity took longer than expected but the team communicated.
FB-0176,2026-03-18,Social,Touring Owners,Digital,North,5,9,32,Digital service booking,3,no,no,5,Digital service booking matched expectations and the digital step felt effortless.
FB-0323,2026-03-18,Survey,Performance Enthusiasts,Purchase,North,3,6,72,Financing clarity,2,no,no,3,Financing clarity took longer than expected but the team communicated.
FB-0356,2026-03-18,Survey,First-Time Owners,Ownership,Central,3,6,100,Warranty registration,3,yes,yes,5,Warranty registration took longer than expected but the team communicated.
FB-0410,2026-03-19,App,Performance Enthusiasts,Digital,North,4,8,117,Digital service booking,1,no,no,4,Digital service booking was handled smoothly across the digital journey.
FB-0421,2026-03-19,Survey,First-Time Owners,Purchase,North,2,3,144,Financing clarity,5,yes,no,2,Financing clarity created friction and I expected clearer guidance.
FB-0371,2026-03-20,App,Performance Enthusiasts,Purchase,North,3,5,79,Delivery handover,3,yes,yes,3,Delivery handover was acceptable but purchase could be smoother.
FB-0091,2026-03-23,App,Performance Enthusiasts,Ownership,North,3,5,123,Accessories,3,yes,yes,4,Accessories was acceptable but ownership could be smoother.
FB-0133,2026-03-23,Survey,Urban Commuters,Service,South,5,10,84,Service cost transparency,2,no,no,5,Clear and proactive handling of service cost transparency; very satisfied.
FB-0273,2026-03-23,Email,First-Time Owners,Ownership,North,3,4,152,Insurance documentation,4,yes,no,3,Mixed experience with insurance documentation; resolved eventually after follow-up.
FB-0389,2026-03-23,Email,First-Time Owners,Ownership,Central,1,5,97,Insurance documentation,4,yes,yes,2,Insurance documentation created friction and I expected clearer guidance.
FB-0403,2026-03-23,Email,First-Time Owners,Digital,South,4,8,75,Digital service booking,2,yes,no,4,Clear and proactive handling of digital service booking; very satisfied.
FB-0416,2026-03-23,Email,First-Time Owners,Digital,North,2,6,140,App onboarding,3,yes,yes,3,App onboarding created friction and I expected clearer guidance.
FB-0034,2026-03-24,Social,First-Time Owners,Purchase,Central,2,3,71,Delivery handover,3,yes,yes,3,Delivery handover was confusing and slowed the whole purchase experience.
FB-0343,2026-03-24,Email,First-Time Owners,Service,Central,5,8,145,Parts availability,2,no,no,5,Clear and proactive handling of parts availability; very satisfied.
FB-0322,2026-03-25,Email,First-Time Owners,Ownership,North,2,3,119,Insurance documentation,4,yes,yes,5,Insurance documentation was confusing and slowed the whole ownership experience.
FB-0203,2026-03-26,App,Touring Owners,Ownership,South,2,3,68,Documentation,3,yes,no,2,Documentation was confusing and slowed the whole ownership experience.
FB-0363,2026-03-26,Survey,First-Time Owners,Digital,South,2,2,157,App onboarding,4,yes,yes,4,App onboarding was confusing and slowed the whole digital experience.
FB-0140,2026-03-27,Dealer,Urban Commuters,Service,North,5,7,42,Maintenance clarity,1,no,no,5,Maintenance clarity matched expectations and the service step felt effortless.
FB-0334,2026-03-27,App,Urban Commuters,Purchase,South,3,6,64,Delivery handover,2,no,no,3,Mixed experience with delivery handover; resolved eventually after follow-up.
FB-0442,2026-03-27,Social,Touring Owners,Purchase,Central,4,6,76,Test ride,2,no,no,4,Test ride matched expectations and the purchase step felt effortless.
FB-0166,2026-03-28,Email,First-Time Owners,Service,North,4,5,77,Appointment wait,3,yes,yes,5,Appointment wait was handled smoothly across the service journey.
FB-0209,2026-03-28,Dealer,First-Time Owners,Service,North,3,7,62,Parts availability,3,no,no,3,Mixed experience with parts availability; resolved eventually after follow-up.
FB-0260,2026-03-28,Dealer,Performance Enthusiasts,Digital,Central,4,6,114,Connectivity pairing,3,yes,yes,5,Connectivity pairing matched expectations and the digital step felt effortless.
FB-0278,2026-03-29,Email,Urban Commuters,Service,South,3,0,127,Parts availability,4,yes,yes,5,Mixed experience with parts availability; resolved eventually after follow-up.
FB-0369,2026-03-29,Social,Urban Commuters,Ownership,Central,3,7,76,Insurance documentation,2,no,no,3,Mixed experience with insurance documentation; resolved eventually after follow-up.
FB-0388,2026-03-29,Dealer,Urban Commuters,Ownership,North,5,9,92,Accessories,2,no,no,5,Accessories matched expectations and the ownership step felt effortless.
FB-0321,2026-03-30,Dealer,Urban Commuters,Service,North,3,2,92,Parts availability,3,yes,yes,5,Mixed experience with parts availability; resolved eventually after follow-up.
FB-0021,2026-04-01,Social,Touring Owners,Ownership,North,3,5,59,Insurance documentation,4,yes,yes,4,Insurance documentation was acceptable but ownership could be smoother.
FB-0230,2026-04-01,Dealer,Touring Owners,Ownership,South,4,4,89,Insurance documentation,4,no,no,4,Clear and proactive handling of insurance documentation; very satisfied.
FB-0351,2026-04-01,Dealer,First-Time Owners,Service,North,3,8,41,Maintenance clarity,3,no,no,3,Mixed experience with maintenance clarity; resolved eventually after follow-up.
FB-0392,2026-04-01,Dealer,Touring Owners,Service,North,4,6,112,Repair turnaround,2,no,no,4,Repair turnaround was handled smoothly across the service journey.
FB-0210,2026-04-02,Dealer,Performance Enthusiasts,Purchase,Central,4,5,93,Order tracking,3,no,no,4,Order tracking matched expectations and the purchase step felt effortless.
FB-0168,2026-04-03,Social,First-Time Owners,Purchase,South,2,3,83,Financing clarity,4,yes,no,2,Frustrated with financing clarity during purchase; needed several contacts to resolve.
FB-0128,2026-04-06,Survey,Urban Commuters,Digital,Central,4,8,119,Digital service booking,2,no,no,4,Digital service booking matched expectations and the digital step felt effortless.
FB-0191,2026-04-06,Email,First-Time Owners,Digital,North,2,2,163,Connectivity pairing,3,yes,yes,4,Frustrated with connectivity pairing during digital; needed several contacts to resolve.
FB-0336,2026-04-06,Survey,First-Time Owners,Service,South,2,4,153,Repair turnaround,5,yes,no,2,Frustrated with repair turnaround during service; needed several contacts to resolve.
